Full Name,Title,Diversity Flag,Firm,Type,Location,Crunchbase URL,LinkedIn URL
Lauren Jupiter,Co-Founder,Female,[object Object],"{""valuesByForeignRowId"":{""recUDBGIPOTSD2WMO"":[""Venture Capital""]},""foreignRowIdOrder"":[""recUDBGIPOTSD2WMO""]}","New York, NY",https://www.crunchbase.com/person/lauren-jupiter,https://www.linkedin.com/in/lauren-alexander-jupiter-0165a415/
Cack Wilhelm,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""rec0tyBhlDcLAv3nV"":[""Venture Capital""]},""foreignRowIdOrder"":[""rec0tyBhlDcLAv3nV""]}","San Francisco, CA",https://www.crunchbase.com/person/cack-wilhelm,https://www.linkedin.com/in/cackferrell/
Sarah Downey,"Principal, Angel","Female, LGBTQ",[object Object],"{""valuesByForeignRowId"":{""rec0tyBhlDcLAv3nV"":[""Venture Capital""]},""foreignRowIdOrder"":[""rec0tyBhlDcLAv3nV""]}","Boston, MA",https://www.crunchbase.com/person/sarah-downey#section-overview,https://www.linkedin.com/in/sarahadowney/
Courtney Robinson,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""rec6SzBFiWmFII40v"":[""Venture Capital""]},""foreignRowIdOrder"":[""rec6SzBFiWmFII40v""]}","New York, NY",https://www.crunchbase.com/person/courtney-robinson,https://www.linkedin.com/in/courtrob/
David Ibnale,Founding & Managing Partner,PoC,[object Object],"{""valuesByForeignRowId"":{""rec6SzBFiWmFII40v"":[""Venture Capital""]},""foreignRowIdOrder"":[""rec6SzBFiWmFII40v""]}","San Francisco, CA",https://www.crunchbase.com/person/david-ibnale,https://www.linkedin.com/in/david-t-ibnale/
Shari Redstone,Co-Founder & Managing Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recYTVFRa4Po4DtNJ"":[""Venture Capital""]},""foreignRowIdOrder"":[""recYTVFRa4Po4DtNJ""]}","Norwood, MA",https://www.crunchbase.com/person/shari-redstone,
Chinedu Enekwe,Managing Partner,PoC,[object Object],"{""valuesByForeignRowId"":{""recjilPTd14UpxUNo"":[""Venture Capital"",""Growth Equity""]},""foreignRowIdOrder"":[""recjilPTd14UpxUNo""]}","Washington, DC",,
Shuonan Chen,General Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recGZ1OFWWOTivdOz"":[""Venture Capital""]},""foreignRowIdOrder"":[""recGZ1OFWWOTivdOz""]}","San Francisco, CA",https://www.crunchbase.com/person/shuonan-chen,
Jodi Jahic,Managing Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recUVqH037q9F6hK5"":[""Venture Capital""]},""foreignRowIdOrder"":[""recUVqH037q9F6hK5""]}","San Francisco, CA",https://www.crunchbase.com/person/jodi-sherman-jahic,https://www.linkedin.com/in/jodijahic/
Susan Mason,Managing Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recUVqH037q9F6hK5"":[""Venture Capital""]},""foreignRowIdOrder"":[""recUVqH037q9F6hK5""]}","San Francisco, CA",https://www.crunchbase.com/person/susan-mason,https://www.linkedin.com/in/susanmason47/
