Full Name,Title,Diversity Flag,Firm,Type,Location,Crunchbase URL,LinkedIn URL
Nicole Walker,Partner,"PoC, Female",[object Object],"{""valuesByForeignRowId"":{""recXRVsdwL9aOtTJD"":[""Venture Capital""]},""foreignRowIdOrder"":[""recXRVsdwL9aOtTJD""]}","Milwaukee, WI",https://www.crunchbase.com/person/nicole-walker,
Shamin Rostami Walsh ,Managing Director,Female,[object Object],"{""valuesByForeignRowId"":{""rec27ZNDp2z5Mv8nc"":[""Venture Capital""]},""foreignRowIdOrder"":[""rec27ZNDp2z5Mv8nc""]}",,,http://linkedin.com/in/shamin-walsh-a21a867
Erik Moore,Managing Director,PoC,[object Object],"{""valuesByForeignRowId"":{""recMDtAd1noKOZhye"":[""Venture Capital""]},""foreignRowIdOrder"":[""recMDtAd1noKOZhye""]}","San Francisco, CA",https://www.crunchbase.com/person/erik-moore,https://www.linkedin.com/in/erikhmoore
Kirby Harris,Partner,PoC,[object Object],"{""valuesByForeignRowId"":{""recMDtAd1noKOZhye"":[""Venture Capital""]},""foreignRowIdOrder"":[""recMDtAd1noKOZhye""]}","San Francisco, CA",https://www.crunchbase.com/person/kirby-harris,https://www.linkedin.com/in/kirby-harris-2b454b8/
Adeyemi Ajao,"Managing Partner, Founder",PoC,[object Object],"{""valuesByForeignRowId"":{""recOKvITVmvQE6Nqc"":[""Venture Capital""]},""foreignRowIdOrder"":[""recOKvITVmvQE6Nqc""]}","San Francisco, CA",https://www.crunchbase.com/person/adeyemi-ajao,http://www.linkedin.com/in/adeyemiajao
Xuezhao Lan,Founding Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recEQ9M2EqLT5H7bB"":[""Venture Capital""]},""foreignRowIdOrder"":[""recEQ9M2EqLT5H7bB""]}","San Francisco, CA",https://www.crunchbase.com/person/xuezhao-lan,https://www.linkedin.com/in/xuezhao-lan-50aa1a1/
Chelsea Stoner,General Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recnilyHk3nFsVzdy"":[""Venture Capital""]},""foreignRowIdOrder"":[""recnilyHk3nFsVzdy""]}","San Francisco, CA",https://www.crunchbase.com/person/chelsea-stoner,http://www.linkedin.com/pub/chelsea-stoner/2/92b/4b0
Nisha Dua,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recdtB0GXIwnbtAGC"":[""Venture Capital""]},""foreignRowIdOrder"":[""recdtB0GXIwnbtAGC""]}","New York, NY",https://www.crunchbase.com/person/nisha-dua,https://www.linkedin.com/in/nisha-dua-5aa87914
Susan Lyne,President and Founding Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recdtB0GXIwnbtAGC"":[""Venture Capital""]},""foreignRowIdOrder"":[""recdtB0GXIwnbtAGC""]}","New York, NY",https://www.crunchbase.com/person/susan-lyne,http://www.linkedin.com/pub/susan-lyne/13/b76/267
Walter Delph,Partner & Managing Director,PoC,[object Object],"{""valuesByForeignRowId"":{""recneJUemPB62Hwub"":[""Venture Capital""]},""foreignRowIdOrder"":[""recneJUemPB62Hwub""]}","Los Angeles, CA",https://www.crunchbase.com/person/walter-delph,https://www.linkedin.com/in/walter-delph/
Sarah Tavel,General Partner,"Female, LGBTQ",[object Object],"{""valuesByForeignRowId"":{""recaq2cretPgPhnku"":[""Venture Capital""]},""foreignRowIdOrder"":[""recaq2cretPgPhnku""]}","San Francisco, CA",https://www.crunchbase.com/person/sarah-tavel,http://www.linkedin.com/in/sarahtavel
Kristina Shen,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recv1tXnr5StrHPKN"":[""Venture Capital""]},""foreignRowIdOrder"":[""recv1tXnr5StrHPKN""]}","San Francisco, CA",https://www.crunchbase.com/person/kristina-shen-e419,https://www.linkedin.com/in/kristina-shen/
Israel Rollins,Managing Principal,PoC,[object Object],"{""valuesByForeignRowId"":{""recH6iIYt1zbwptp4"":[""Venture Capital""]},""foreignRowIdOrder"":[""recH6iIYt1zbwptp4""]}","Nashville, TN",https://www.crunchbase.com/person/israel-rollins,https://www.linkedin.com/in/israelrollins/
Brita Rosenheim,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""reclgFxT3SboVTWMP"":[""Venture Capital""]},""foreignRowIdOrder"":[""reclgFxT3SboVTWMP""]}","New York, NY",https://www.crunchbase.com/person/brita-rosenheim,
Julie Sunderland,Co-Founder & Managing Director,Female,[object Object],"{""valuesByForeignRowId"":{""recGFg2OA3UJ4jhwf"":[""Venture Capital""]},""foreignRowIdOrder"":[""recGFg2OA3UJ4jhwf""]}","Seattle, WA",https://www.crunchbase.com/person/julie-sunderland,
Mary Elizabeth Wheeler,General Partner and Angel,Female,[object Object],"{""valuesByForeignRowId"":{""rec8zxdWOGKJgOKUi"":[""Venture Capital""]},""foreignRowIdOrder"":[""rec8zxdWOGKJgOKUi""]}","Palo Alto, CA",,https://www.linkedin.com/in/marywheelermbaphd/
Renee Masi,Managing Director,Female,[object Object],"{""valuesByForeignRowId"":{""recprvOYAxWWWnYWn"":[""Venture Capital""]},""foreignRowIdOrder"":[""recprvOYAxWWWnYWn""]}","Boston, MA",https://www.crunchbase.com/person/renee-masi,https://www.linkedin.com/in/renee-masi-088829/
Ken Grimes,Managing Director,PoC,[object Object],"{""valuesByForeignRowId"":{""recW57JElxI5y2Ivw"":[""Angel Network""]},""foreignRowIdOrder"":[""recW57JElxI5y2Ivw""]}","Sacramento, CA",https://www.crunchbase.com/person/ken-grimes,https://www.linkedin.com/in/kenmgrimes/
Obi Ugwanali,Cofounder & Managing Partner,PoC,[object Object],"{""valuesByForeignRowId"":{""recW57JElxI5y2Ivw"":[""Angel Network""]},""foreignRowIdOrder"":[""recW57JElxI5y2Ivw""]}","Atlanta, GA",https://www.crunchbase.com/person/obi-ugwonali,
Vincent Diallo,Partner,PoC,[object Object],"{""valuesByForeignRowId"":{""recffayDyxIu3CgfL"":[""Venture Capital""]},""foreignRowIdOrder"":[""recffayDyxIu3CgfL""]}","San Francisco, CA",https://www.crunchbase.com/person/vincent-diallo,https://www.linkedin.com/in/vincent-diallo
Karin Klein,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recrWClU6o29Qhz2E"":[""Venture Capital""]},""foreignRowIdOrder"":[""recrWClU6o29Qhz2E""]}","New York, NY",https://www.crunchbase.com/person/karin-klein,http://www.linkedin.com/in/karinklein
Anna Haghgooie,Managing Director,Female,[object Object],"{""valuesByForeignRowId"":{""recX2ZGjFJQ7cUQoF"":[""Venture Capital""]},""foreignRowIdOrder"":[""recX2ZGjFJQ7cUQoF""]}","Chicago, IL",https://www.crunchbase.com/person/anna-haghgooie,http://www.linkedin.com/pub/anna-haghgooie/1/78b/725
Dipa Talati,Managing Director,Female,[object Object],"{""valuesByForeignRowId"":{""recX2ZGjFJQ7cUQoF"":[""Venture Capital""]},""foreignRowIdOrder"":[""recX2ZGjFJQ7cUQoF""]}","Chicago, IL",https://www.crunchbase.com/person/dipa-talati,https://www.linkedin.com/in/dipa-mehta-2075694
Cheryl Cheng,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recKXRFfdLD6Z82Pw"":[""Venture Capital""]},""foreignRowIdOrder"":[""recKXRFfdLD6Z82Pw""]}","San Francisco, CA",https://www.crunchbase.com/person/cheryl-cheng,http://www.linkedin.com/pub/cheryl-cheng/b/a66/428
Nimi Katragadda,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recokA9jwpl7SdR8i"":[""Venture Capital""]},""foreignRowIdOrder"":[""recokA9jwpl7SdR8i""]}","New York, NY",https://www.crunchbase.com/person/nimi-katragadda,https://www.linkedin.com/in/nimikatragadda
Meghan Sharp,Managing Director,Female,[object Object],"{""valuesByForeignRowId"":{""recN9WIE4PHa7rIR8"":[""Venture Capital""]},""foreignRowIdOrder"":[""recN9WIE4PHa7rIR8""]}","San Francisco, CA",https://www.crunchbase.com/person/meghan-sharp,https://www.linkedin.com/in/meghan-sharp-9213a316/
Jiong Ma,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recVkvAwP9D48Fx28"":[""Venture Capital""]},""foreignRowIdOrder"":[""recVkvAwP9D48Fx28""]}","Boston, MA",https://www.crunchbase.com/person/jiong-ma,http://www.linkedin.com/pub/ma-jiong-jiong-ma/0/4bb/976
Nathalie Molina Niño,CEO,"PoC, Female",[object Object],"{""valuesByForeignRowId"":{""recm4wTCTdZncWHvJ"":[""Venture Capital""]},""foreignRowIdOrder"":[""recm4wTCTdZncWHvJ""]}","New York, NY",https://www.crunchbase.com/person/nathalie-ni%C3%B1o,https://www.linkedin.com/in/globalmisfit/
Hemai Parthasarathy,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recjvaP4xmcd7iPl4"":[""Venture Capital""]},""foreignRowIdOrder"":[""recjvaP4xmcd7iPl4""]}","San Francisco, CA",https://www.crunchbase.com/person/hemai-parthasarathy,https://www.linkedin.com/in/hemai/
Julia Moore,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recjvaP4xmcd7iPl4"":[""Venture Capital""]},""foreignRowIdOrder"":[""recjvaP4xmcd7iPl4""]}","San Francisco, CA",https://www.crunchbase.com/person/julia-moore,https://www.linkedin.com/in/juliatmoore/
Lindy Fishburne,Managing Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recjvaP4xmcd7iPl4"":[""Venture Capital""]},""foreignRowIdOrder"":[""recjvaP4xmcd7iPl4""]}","San Francisco, CA",https://www.crunchbase.com/person/lindy-fishburne,https://www.linkedin.com/in/lindy-morris-fishburne-076157
Sophie Forest,Managing Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recfNsEGUqU97Slvx"":[""Venture Capital""]},""foreignRowIdOrder"":[""recfNsEGUqU97Slvx""]}","Toronto, Canada",https://www.crunchbase.com/person/sophie-forest,https://www.linkedin.com/in/sophie-forest-835b322/
Audrey MacLean,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/audrey-maclean,http://www.linkedin.com/pub/audrey-maclean/0/5ab/ab9
Carla Newell,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/carla-newell,http://www.linkedin.com/pub/carla-s-newell/0/33/b58
Claudia Fan Munce,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/claudia-fan-munce,https://www.linkedin.com/in/claudia-fan-munce-ab58536/
Courtney Broadus,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/courtney-broadus,https://www.linkedin.com/in/courtneybroadus/
Ellen Levy,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/ellen-levy,http://www.linkedin.com/in/ellenlevy
Emily Poplawski,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/emily-poplawski,https://www.linkedin.com/in/emily-poplawski-1972322b
Heather Preston,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/heather-preston,http://www.linkedin.com/pub/heather-preston/10/355/286
Julie Herendeen,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/julie-herendeen,http://www.linkedin.com/pub/julie-herendeen/0/5a3/7aa
Karen Boezi,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/karen-boezi,http://www.linkedin.com/pub/karen-boezi/0/47/9b
Katie Rodan,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/katie-rodan,https://www.linkedin.com/in/katie-rodan-1b336610/
Kim Polese,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/kim-polese,https://www.linkedin.com/pub/kim-polese/0/0/a13
Laurie Yoler,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/laurie-yoler,http://www.linkedin.com/in/yoler
Leah Busque,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/leah-busque,http://www.linkedin.com/in/labusque
Leslie Blodgett,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/leslie-a-blodgett,
Magdalena Yesil,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/magdalena-yesil,https://www.linkedin.com/in/magdalena-yesil/
Margit Wennmachers,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/margit-wennmachers,http://www.linkedin.com/pub/margit-wennmachers/0/b18/613
Martha Ehmann Conte,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/martha-ehmann-conte,https://www.linkedin.com/in/martha-ehmann-conte-81a11733
Mary Cranston,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/mary-cranston,https://www.linkedin.com/in/mary-cranston-9420b3aa
MJ Elmore,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/mj-elmore,https://www.linkedin.com/in/mary-jane-elmore-a7525817
Paula Brooks,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/paula-brooks,
Rachel Sheinbein,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/rachel-sheinbein,http://www.linkedin.com/in/rachelsheinbein
Robin Richards Donohoe,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/robin-richards-donohoe,https://www.linkedin.com/in/robin-richards-donohoe-579aa645/
Sarah Imbach,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","Seattle, WA",https://www.crunchbase.com/person/sarah-imbach,http://www.linkedin.com/in/sarahimbach
Sarah Koch-Schiller,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","Berkeley, CA",https://www.crunchbase.com/person/sarah-koch-schiller,https://www.linkedin.com/in/sarah-koch-schiller-93812b1a
Sharon Wienbar,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/sharon-wienbar,http://www.linkedin.com/in/sharonwienbar
Shellye Archambeau,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/shellye-archambeau,http://www.linkedin.com/pub/shellye-archambeau/0/15/721
Sukhinder Singh Cassidy,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/sukhinder-singh-cassidy,
Tamara Thompson,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/tamara-thompson,https://www.linkedin.com/in/tamaralthompson/
Agatha Precourt,Angel,Female,"[object Object], [object Object]","{""valuesByForeignRowId"":{""recvhD55JaMFYBTjN"":[""Venture Capital""],""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recvhD55JaMFYBTjN"",""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/agatha-precourt,https://www.linkedin.com/in/agatha-matosek-precourt-83b82b34/
Julia Popowitz,,Female,"[object Object], [object Object]","{""valuesByForeignRowId"":{""recpvbcMxNhyXdM5g"":[""Venture Capital""],""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recpvbcMxNhyXdM5g"",""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/julia-popowitz,https://www.linkedin.com/in/juliapopowitz
Katherine August-deWilde,Angel,Female,"[object Object], [object Object]","{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/katherine-august-dewilde,
Allison Thoreson Bhusri,Angel,Female,"[object Object], [object Object]","{""valuesByForeignRowId"":{""rec7CYjCHI6u1iFOQ"":[""Venture Capital""],""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""rec7CYjCHI6u1iFOQ"",""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/allison-bhusri#section-overview,
Fern Mandelbaum,,Female,"[object Object], [object Object]","{""valuesByForeignRowId"":{""recLaGD6Iar0vhyvS"":[""Venture Capital""],""recyRZPDyRts2G9fs"":[""Angel Network""]},""foreignRowIdOrder"":[""recLaGD6Iar0vhyvS"",""recyRZPDyRts2G9fs""]}","San Francisco, CA",https://www.crunchbase.com/person/fern-mandelbaum,https://www.linkedin.com/in/fern-mandelbaum-a485851/
Stephen DeBerry,Founder & Managing Partner,PoC,[object Object],"{""valuesByForeignRowId"":{""recQwyqZPf8zhGIVJ"":[""Venture Capital""]},""foreignRowIdOrder"":[""recQwyqZPf8zhGIVJ""]}","San Francisco, CA",https://www.crunchbase.com/person/stephen-deberry,http://www.linkedin.com/in/stephendeberry
Kobe Bryant,General Partner,PoC,[object Object],"{""valuesByForeignRowId"":{""recuSeNV9PBVcJzg7"":[""Venture Capital""]},""foreignRowIdOrder"":[""recuSeNV9PBVcJzg7""]}","Los Angeles, CA",https://www.crunchbase.com/person/kobe-bryant,https://www.linkedin.com/in/kobe-bryant-ab1539124/
Aaron Gillum,Managing Director,PoC,[object Object],"{""valuesByForeignRowId"":{""recEJKA572jLS9684"":[""Venture Capital""]},""foreignRowIdOrder"":[""recEJKA572jLS9684""]}","Chicago, IL",https://www.crunchbase.com/person/aaron-gillum,https://www.linkedin.com/in/agillum/
James Robinson,Managing Director,PoC,[object Object],"{""valuesByForeignRowId"":{""recEJKA572jLS9684"":[""Venture Capital""]},""foreignRowIdOrder"":[""recEJKA572jLS9684""]}","New York, NY",https://www.crunchbase.com/person/james-robinson-6,https://www.linkedin.com/in/james-robinson-7542395/
Richelle Parham,General Partner,"PoC, Female",[object Object],"{""valuesByForeignRowId"":{""recCeZYlZAlsPpqm6"":[""Growth Equity""]},""foreignRowIdOrder"":[""recCeZYlZAlsPpqm6""]}","Baltimore, MD",https://www.crunchbase.com/person/richelle-p-parham,
Christine Day,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recdzEnv7nWJFlWWb"":[""Venture Capital""]},""foreignRowIdOrder"":[""recdzEnv7nWJFlWWb""]}","Vancouver, Canada",https://www.crunchbase.com/person/christine-day,
Manica Gautam,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recdzEnv7nWJFlWWb"":[""Venture Capital""]},""foreignRowIdOrder"":[""recdzEnv7nWJFlWWb""]}","Vancouver, Canada",https://www.crunchbase.com/person/manica-gautam,
Julie Grant,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recepaQ0ffr2DsVS9"":[""Venture Capital""]},""foreignRowIdOrder"":[""recepaQ0ffr2DsVS9""]}","Menlo Park, CA",https://www.crunchbase.com/person/julie-papanek,https://www.linkedin.com/in/julie-papanek-a8961b1
Nina Kjellson,General Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recepaQ0ffr2DsVS9"":[""Venture Capital""]},""foreignRowIdOrder"":[""recepaQ0ffr2DsVS9""]}","San Francisco, CA",https://www.crunchbase.com/person/nina-kjellson,http://www.linkedin.com/pub/nina-kjellson/0/3ab/343
Wende Hutton,General Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recepaQ0ffr2DsVS9"":[""Venture Capital""]},""foreignRowIdOrder"":[""recepaQ0ffr2DsVS9""]}","San Francisco, CA",https://www.crunchbase.com/person/wende-hutton,https://www.linkedin.com/in/wende-hutton-a70a812/
Maha Ibrahim,General Partner,Female,"[object Object], [object Object]","{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""],""recepaQ0ffr2DsVS9"":[""Venture Capital""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs"",""recepaQ0ffr2DsVS9""]}","San Francisco, CA",https://www.crunchbase.com/person/maha-ibrahim,http://www.linkedin.com/pub/maha-ibrahim/0/9/b95
Rebecca Lynn,Co-founder & General Partner,Female,"[object Object], [object Object]","{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""],""recLRKV5lWeMCyQXA"":[""Venture Capital""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs"",""recLRKV5lWeMCyQXA""]}","San Francisco, CA",https://www.crunchbase.com/person/rebecca-lynn,http://www.linkedin.com/in/lynnra
Gretchen Howard,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recWFts4l0gC4cwfW"":[""Venture Capital""]},""foreignRowIdOrder"":[""recWFts4l0gC4cwfW""]}","San Francisco, CA",https://www.crunchbase.com/person/gretchen-howard,https://www.linkedin.com/in/gretchenehoward
Laela Sturdy,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recWFts4l0gC4cwfW"":[""Venture Capital""]},""foreignRowIdOrder"":[""recWFts4l0gC4cwfW""]}","San Francisco, CA",https://www.crunchbase.com/person/laela-sturdy,https://www.linkedin.com/in/laela-sturdy-376543
Lanchun Duan,Managing Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recUuAmeqPkyOQpiS"":[""Venture Capital""]},""foreignRowIdOrder"":[""recUuAmeqPkyOQpiS""]}","Shanghai, China",https://www.crunchbase.com/person/lanchun-duan,
Susan Hobbs,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recrewOc8euO0WVJp"":[""Venture Capital""]},""foreignRowIdOrder"":[""recrewOc8euO0WVJp""]}","San Francisco, CA",https://www.crunchbase.com/person/susan-hobbs,http://www.linkedin.com/in/susanhobbs
Danielle Dudum ,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recDCNHLazsHJvLkr"":[""Venture Capital""]},""foreignRowIdOrder"":[""recDCNHLazsHJvLkr""]}","San Francisco, CA",,https://www.linkedin.com/in/danielledudum/
Carlos Ochoa,Managing Partner,PoC,[object Object],"{""valuesByForeignRowId"":{""recGRhnohEpmE3vbW"":[""Venture Capital""]},""foreignRowIdOrder"":[""recGRhnohEpmE3vbW""]}","San Francisco, CA",https://www.crunchbase.com/person/carlos-ochoa-2,
Neha Jain,Managing Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recGRhnohEpmE3vbW"":[""Venture Capital""]},""foreignRowIdOrder"":[""recGRhnohEpmE3vbW""]}","San Francisco, CA",https://www.crunchbase.com/person/neha-jain-3,
Christina Bechhold Russ,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recavU0NNMEH8cCPB"":[""Angel""]},""foreignRowIdOrder"":[""recavU0NNMEH8cCPB""]}","New York, NY",,Http://www.linkedin.com/Christina-bechhold
Diana Meyel,Managing Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recW57PU75wpHAoQV"":[""Venture Capital""]},""foreignRowIdOrder"":[""recW57PU75wpHAoQV""]}","Munich, Germany",https://www.crunchbase.com/person/diana-meyel,
Janey Hoe,Vice President,Female,[object Object],"{""valuesByForeignRowId"":{""rec1AE47r3iCKKFo4"":[""Venture Capital""]},""foreignRowIdOrder"":[""rec1AE47r3iCKKFo4""]}","San Francisco, CA",https://www.crunchbase.com/person/janey-hoe,https://www.linkedin.com/in/janeyhoe/
Michele Park,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recmxJlwmB9GfgZOM"":[""Venture Capital""]},""foreignRowIdOrder"":[""recmxJlwmB9GfgZOM""]}","San Francisco, CA",https://www.crunchbase.com/person/michele-park,http://www.linkedin.com/pub/michele-park/3/80b/b67
Don Thompson,Partner,PoC,[object Object],"{""valuesByForeignRowId"":{""reczX4oKcYriqLgJO"":[""Venture Capital""]},""foreignRowIdOrder"":[""reczX4oKcYriqLgJO""]}","Chicago, IL",https://www.crunchbase.com/person/don-thompson-2,
Amy Banse,Managing Director and Head of Funds,Female,"[object Object], [object Object]","{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""],""recq9BpK3h0kjk6lY"":[""Venture Capital""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs"",""recq9BpK3h0kjk6lY""]}","San Francisco, CA",https://www.crunchbase.com/person/amy-banse,https://www.linkedin.com/in/amy-banse-7468211/
