VC Firm,Stage,New meetings?,New terms sheets?,Areas of Interest,Check Size,Lead/Co-invest,Notes,Location,Last Modified
Unusual Ventures,Seed,Taking new meetings,Offering new term sheets,,,"Lead, Co-Invest",,"Menlo Park, California, United States",2020-05-04T21:25:47.000Z
VitalizeVC,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Enterprise Software, Minority Founders, Female Founders, E-Commerce, Adtech, AR/VR, Marketplace, PropTech, Legal, Fintech, Insuretech, Future of Work, Mobility, Sustainability",$100K-500K,"Lead, Co-Invest",Looking at companies from pre-revenue to those with recurring revenue and product-market fit,"Chicago, Illinois, United States",2020-05-04T21:25:53.000Z
XRC Labs,Pre-Seed,Taking new meetings,Offering new term sheets,"Direct To Consumer, Enterprise Software, Consumer Software, CPG, Minority Founders, Female Founders, E-Commerce, Adtech, Lifestyle, Marketplace, Food/Beverage, Healthcare, Wellness, Sustainability",$50-$500K,"Lead, Co-Invest",Looking at companies from the idea stage to those with 100K in MRR,"New York, New York, United States",2020-05-04T21:26:04.000Z
Zetta Venture Partners,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,AI-first companies,$1M-$3M,"Lead, Co-Invest",,"San Francisco, California, United States",2020-05-04T21:26:10.000Z
Yes VC,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Direct To Consumer, Consumer Software, CPG, Minority Founders, Female Founders, E-Commerce, Marketplace, PropTech, Social Media, Fintech, Insuretech, Public Safety, Healthcare, Wellness, Education, Future of Work, Mobility",$50-$5M,Co-Invest,Looking at companies from the idea stage to those with recurring revenue,"San Francisco, California, United States",2020-05-04T21:26:19.000Z
Wavemaker Three-Sixty Health,Seed,Taking new meetings,Offering new term sheets,Healthcare start-ups,,Co-Invest,,"Pasadena, California, United States",2020-05-04T21:26:31.000Z
Watertower Ventures ,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Enterprise Software, Consumer Software, Female Founders, E-Commerce, Gaming/Sports, Marketplace, PropTech, Media and Entertainment, Fintech",$100K-500K,Co-Invest,Looking at companies from pre-revenue to those with recurring revenue and product-market fit,"Beverly Hills, California, United States",2020-05-04T21:26:33.000Z
Village Global,Seed,Taking new meetings,Offering new term sheets,Industry/Sector Agnostic,,Co-Invest,"Actively doing deals for seed investments and Network Catalyst, an accelerator program.","San Francisco, California, United States",2020-05-04T21:26:36.000Z
Twenty Seven Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Enterprise Software, Minority Founders, Female Founders, Marketplace, PropTech, Hardware, Social Impact, HR, Education, Future of Work, AI/ML",$50-$500K,Co-Invest,Looking at companies from pre-revenue to those with product-market fit and recurring revenue,Hong Kong,2020-05-04T21:26:50.000Z
Lakehouse Ventures,Pre-Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks,Consumer focused,,,,,2020-05-05T15:58:45.000Z
