Full Name,Country,Notable Investments,Investment areas of interest,LinkedIn
Carolina Gianardi,Italy,"Rentuu, Aortilab, Cellply, Deephound, Winegrid","Digital, Fintech, Life Science",https://www.linkedin.com/in/carolinagianardi
Carolina Walther,Sweden,,"Fintech, climate, medtech, b2b, b2c",http://linkedin.com/in/carolina-walther-2b454672
Caroline Hjelm,Sweden,"Bumpy app, AllGravy, Lassie, Estrid, Guestit, Nothing",Consumer ,https://www.linkedin.com/in/caroline-hjelm-b86574a8/
Caroline Hudack,United Kingdom,,,https://www.linkedin.com/in/carolinehudack/
Cathe Lamarque,France,,,https://www.linkedin.com/in/cathe-lamarque-13390317b/
Catherine Barba,France,,,https://www.linkedin.com/in/cashstore/?originalSubdomain=fr
Catherine Lenson,United Kingdom,"XigXag, Tandem",,
Celia Maury ,Germany ,Viou ,Healthtech ,https://de.linkedin.com/in/celia-maury-90b85384/en
Chantal Baudron,France,"Flease, Hidden Market, Singulart",,https://www.linkedin.com/in/chantalbaudron/
Chantal Noble Haldorsen,United Kingdom," INNE, Mojo ",femtech and reproductive health,https://www.linkedin.com/in/chantal-noble-haldorsen/
Charmaine Hayden ,United Kingdom,,,
Chenelle Ansah,United Kingdom,"Sojo, Boxx London, ByRotation, Nudea, Unhidden Beauty, Lasso Loop, Waya Money (Africa), Upskill (Africa), ",Climate tech & Financial Incision ,http://linkedin.com/in/chenelle-ansah
Christelle Jager Hafstad,Italy,"Pitpat, AgenT, Clarity Health Technologies, Portofino Property SRL (all female enterprise in Italy)- most recent (others in past)",disruptive life changing technologies,https://www.linkedin.com/in/christelle-jager-hafstad-3a67b14
Christina Caljé,Netherlands,"Unless, Isthmuus, Beazy, Odin, Pipe","Ecommerce, fintech, Adtech, AI-based systems",https://www.linkedin.com/in/chriscalj/
Cindy Naegel ,Belgium ,,,https://www.linkedin.com/in/cindy-naegel-0384704/
Claire Bretton,France,"Alegria, Talk",,
Claire Harwood,UK,GainX. Muse. Dame. NuW. Kore. DAI.,Tech,http://linkedin.com/in/claire-harwood-1191a616
Claire Tange,Netherlands,,,https://www.linkedin.com/in/clairetange/
Clara Pombo,Spain ,"Marsi Bionics, Co-Circula, Bio2coat",Deeptech,https://www.linkedin.com/in/clara-pombo/
Clare Johnston,United Kingdom,"Code First Girls, Ravio","SaaS, marketplaces, fintech, impact",https://www.linkedin.com/in/clarejohnstontheupgroup/
Clare Mary Jones,United Kingdom,,,
Claudine Ang,"United Kingdom, Norway","Bubble, InChorus, Foodstuff + others","Underrepresented founders, sustainability",https://www.linkedin.com/in/claudine-a-b81533188/
Constance Mantle,United Kingdom,,,https://www.linkedin.com/in/constancemantle/
Constanze Buchheim,Germany ,"Delivery Hero, Hitfox, Remi, Leila Fertility, Loopline, 99chairs, MorphAIS plus VC Funds like Revent, Cavalry Ventures etc.","HR Tech, Recruiting, Culture, Org Building, Diversity, Sustainability",https://www.linkedin.com/in/constanzebuchheim/?locale=en_US
Corinne Vigreux,Netherlands,"Fest Amsterdam, Ace & Tate",,https://www.linkedin.com/in/corinnevigreux/
Cornelia Gut-Villa,Switzerland,"Morgen, RAUMPIONERE",,
Cristina Ljungberg,Sweden,"Clue, Hanx, Meela, Planera, Vyld, LEIA","Women's Health, Femtech",https://www.linkedin.com/in/cristinaljungberg/
