Full Name,Country,Notable Investments,Investment areas of interest,LinkedIn
Maria Dramalioti-Taylor,United Kingdom,"Lifebit, Epignosis, Topia, Ometria",B2B enterprise tech in Europe (everything else agnostic).,https://www.linkedin.com/in/dramalioti/
Maria McMenamin,Ireland,"MoveAhead, Lynq, Denturly, Rouvia, Trumpet","B2B SaaS, Marketplaces",https://www.linkedin.com/in/mariamcmenamin/
Mariana Bozesan,Germany ,"DNTOX, XO Life, cureVision, SURGITENT, Tembo Health, Elona Health, Wondder; NDC Data Centers","Exponential Tech (Internet, AI), Renewable Energy and Energy Efficiency, MedTech, HRTech, SaaS",https://www.linkedin.com/in/marianabozesan/
Mariana Grigorian,Switzerland,"SeekSophie, ForgeFiction, Waitrr","Edtech, consumer",https://www.linkedin.com/in/marianagrigorian/?originalSubdomain=ch
Mariëtte Roesink,Netherlands ,"Citryll BV l, Sirius Medical BV, TargED Biotherapeutics BV and Cleara BV",Biotech and healthcare,https://www.linkedin.com/in/mlroesink/
Marina Planas,Spain ,"Wallbox, Woodea, Meetoptics, FemmeUp, Howbout, TheNTWK","Femtech, Sustainability, Platform based business models",https://www.linkedin.com/in/planasmarina
Marina Zaliznyak,Spain ,"Komon, Graphext, Growpro, Banktrack, Startupy, uSizy, Enola, Pharmacelera, Consentio",,https://www.linkedin.com/in/marinazaliznyak/
Marion Chanéac,France,,,https://www.linkedin.com/in/marion-chan%C3%A9ac-a1138918/?originalSubdomain=fr
Marla Shapiro,United Kingdom,"Spoke, Particity, Sxollie, Fungi Alert, The Shellworks","SaaS, deep science sustainability start-ups",https://www.linkedin.com/in/marlafrontyard
Marta-Gaia Zanchi,Spain,,,
Matilde Giglio,Italy,Voosh (YC) https://voosh.in/; TreeCard (https://techcrunch.com/2021/02/25/treecard/); Karbon (YC) https://yourstory.com/2020/03/funding-startup-karbon-card-kunal-shah-angel-seed-round/amp and many others,"Consumer, fintech, health ",https://www.linkedin.com/in/matilde-giglio-774961a8/
Mau Messina,UK,"Oxwash, Zen Educate, Nation Better, Sojo",Impact ,https://www.linkedin.com/in/mau-messina/
Maud Pasturaud,France,"Dalma, Agua Blanca, On Deck",,
Maya Moufarek ,United Kingdom,"Wise/Jude, Fertility Circle, The Lowdown, Mamamade, Roleshare and more",Femtech Healthtech D2C,LinkedIn.com/in/mmoufarek 
Mea Lewis,United Kingdom,"Xnrgy, FeedForward, Orbillion","Foodtech, sustainable materials, climatetech, circular economy ",https://www.linkedin.com/in/mea-l-18286412
Megan Reynolds,United Kingdom,"Skin + Me, Tails.com, Graze.com, Ctrl","Enterprise Software, D2C",http://linkedin.com/in/meganalicereynolds
Meghna Mann,United Kingdom,"Startupy, Mercado Bitcoin, Cover, Backstage Capital","Data Infrastructure, Deep tech, Clean tech, Web3, P2P marketplaces",https://www.linkedin.com/in/meghna-mann/
Melody Lang,United Kingdom,,,https://www.linkedin.com/in/melodylang/
Meryem El Aroui,France,"Funky Veggie, Arianee, Soan",All sectors ,https://www.linkedin.com/in/meryem-el-aroui-031147125/
Michelle Tempest ,United Kingdom,"Medishout  C2-AI, Daye ",Healthcare ,https://www.linkedin.com/in/michelle-tempest-15111b4
Michelle You,United Kingdom,"Project Wren, The Future Forest Company, SINAI","consumer, climate tech",https://www.linkedin.com/in/michelleyou/
Minout van de Ven,Netherlands ,,,https://www.linkedin.com/in/minout-van-de-ven-8aa343/
Monica Ioannidou Polemitis,Cyprus,,,https://www.linkedin.com/in/monica-ioannidou-polemitis-979211b/
Mor Assia and Shelly Hod Moyal,Israel,"Amai Proteins, Better Juice, Immunai","Crypto, foodtech, agritech, digital health, cyber, fintech",https://www.iangels.com/
Morgane Rollando,France,PAULETTE A BICYCLETTE / ETIC / BABYLOAN ,"TECH4GOOD, FINTECH, HUMAN CENTERED COMPANIES",https://www.linkedin.com/in/morganerollando/
Nakeema Stefflbauer,Germany ,"Sojo, SciFree, Compare Ethics, Clearbox.ai",,https://www.linkedin.com/in/nakeema/
Namrata Rastogi,United Kingdom,"OrbitalRX, Memora Health, Lifted Care, Turtletree Labs, Plum",Health-tech,https://www.linkedin.com/in/namratarastogi/
Nardjisse Ben Mebarek,France,,,https://www.linkedin.com/in/nardjissebenmebarek/
Nasreen Alimohamed,United Kingdom,"Haeckels, Vyrao, Inde Wilde, Twig ",Consumer and consumer tech,https://www.linkedin.com/in/nasreenalimohamed
Natalie DeVarona,Spain,,,https://www.linkedin.com/in/natalie-devarona/
Natalie Otwoma,UK,"Sojo, The Renatural, SLIQ, Odin","Consumer, marketplace, deep tech",https://www.linkedin.com/in/natalie-otwoma
Nicole Junkermann,United Kingdom,"Owkin, Bolt, Rippling, Cambrian Biopharma","Biotech, HealthTech, FinTech",https://www.linkedin.com/in/nicolejunkermann/
Nicole Velho,"Spain, United Kingdom",,,https://www.linkedin.com/in/nicole-velho-86b6111/
Nina Faulhaber,"Germany, United Kingdom","Deliveroo, Away, Public, Ceremonia","Consumer products, all areas of daily life, consumer ecosystem b2b, sustainability",https://www.linkedin.com/in/ninafaulhaber/
Noor van Boven,Germany,"Kenjo, OpenUp, Apryl, Anybill, Charly Cares, Lepaya, Teamway","Future of Work, HRtech, Fintech",https://www.linkedin.com/in/noorvanboven/
Noora Fagerström,Finland,,,https://www.linkedin.com/in/noora-fagerstr%C3%B6m-3698286b
Olga Pantelyat,United Kingdom,Byway.travel; The Shellworks; Sxollie; Newcleo,Retail tech; Sustainability,https://www.linkedin.com/in/olgapantelyat/
Pam Garside,United Kingdom,"Accuryx, LVNDR and loads more!",,https://www.linkedin.com/in/pam-garside-9018b55/
Pamela Walker,United Kingdom,"Bea Fertility, MyMynd, DemDx, Samphire, Slip","MedTech, Healthcare ",https://www.linkedin.com/in/drpamelawalker-medtech-lifescience-expert
Paola Bonomo,Italy,"Breadcrumbs.io, Clearbox.ai, Xingu.tech, Conio",,https://www.linkedin.com/in/bonomo/
Paola Bonomo,Italy,,,https://www.linkedin.com/in/bonomo/
Patricia Niego,France,"Oledcomm, Soan, Cypheme, Wild Code School, Creads, Melty, Sir Data, TVTY","Saas, edtech, femtech, marktech",http://linkedin.com/in/patricia-niego-a924a647
Phoebe Hugh,United Kingdom,"Freetrade, Heights, Clothes Doctor, Fnatic, Farewill","Consumer, Fintech, AI, Climate",https://www.linkedin.com/in/phoebehugh
Pippa Lamb,United Kingdom,"BeReal, topi, The Stack, The Expert, Tema, Clubhouse, Contact.xyz, Thing Testing, The Pattern",Consumer digital,https://www.linkedin.com/in/pippalamb/
Poppy Wood,United Kingdom,,,https://www.linkedin.com/in/poppy-wood-04020a33/
Pratima Aiyagari,United Kingdom,"Treblle, YZR",,https://www.linkedin.com/in/pratimaaiyagari
Priya Oberoi,United Kingdom,"Latch Aid, & sisters, Aura","Women's health, fintech",https://www.linkedin.com/in/priya-oberoi-0418591/
Rachael Palmer,United Kingdom,"AudioMob, Outlier, Definely, Studio, Modularity Grid, Polar Signals",,https://www.linkedin.com/in/rachael-palmer-0a09a52/
Ramona Liberoff,"United Kingdom, Germany","Tonus Tech, Thermify, NeoCarbon",Climate and Impact sector,https://www.linkedin.com/in/ramona-liberoff/
Rana Argenio,"United Kingdom, France","Caraway, Ceremonia, Cadence, BelliWelli","Consumer b2c and b2c, all areas that touch daily lives, food and bev",https://www.linkedin.com/in/rana-argenio/
Rita Vilas-Boas,Portugal,"Kencko, Curvecatch, Ignae, Phunk",Consumer ,https://www.linkedin.com/in/ritavilasboas/
Rona Ruthen,United Kingdom,"FairHQ, Progression, LifeSupplies, Flown, Ark, Visible, MRI.com, ","Healthtech, climate tech, future of work",https://www.linkedin.com/in/rona-ruthen/
Roxane Sanguinetti,United Kingdom,"Hanx, 50intech","Fintech, femtech, wellness, technology",https://www.linkedin.com/in/roxane-sanguinetti-72993547/
Roxanne Varza,France,"Moka.care, Figures.hr, Claap, Folk, Neoplant, Beyond Aero, Dance, Biloba, Job Protocol","B2B Saas, Hrtech, fintech, Consumer ",https://www.linkedin.com/in/roxannevarza/
Rupa Ganatra Popat,United Kingdom,"Juno, Sojo, Yuty, Code First Girls, The Lowdown ","Health, Finance, Work, Impact, Female Founders",https://uk.linkedin.com/in/rupapopat
Saasha Celestial-One,United Kingdom,"Climate X, Rail, The Lowdown, Tengri","consumer marketplaces, tech 4 good",https://www.linkedin.com/in/%F0%9F%8C%8F-saasha-celestial-one-929390/
Sabina Wizander,Sweden,,,https://www.linkedin.com/in/sabinawizander/
Sabine Flechet,"Germany , France","FUL Foods, Tremau, Spatula Foods, Trendex, Pina Earth, VR Direct, Clexbio, Atica Paris, Niya, Denizen, Pumpkin Organics","Social Impact, Food & Nutrition, Mental Health & Wellness, ClimateTech, Regenerative Economy",https://www.linkedin.com/in/sabine-flechet/
Saga Forss,Finland,,,https://www.linkedin.com/in/sagaforss
Sahar Meghani,United Kingdom,"Bolt, LiveBetterWith, Parla, Beautonomy, Bluebell ","FemTech, B2B, consumer ",https://uk.linkedin.com/in/saharmeghani
Saloni Bhojwani,United Kingdom,"wild.AI, Parla, Rubies in the Rubble, ScaleXP, MPowder, Sojo","gender data gap, femtech, consumer, b2b SaaS",https://www.linkedin.com/in/salonibhojwani/
Salwa Fathallah,United Kingdom,"Qatalog, Monzo, Revolut, RFC","Fintech, Femtech, Consumer",https://www.linkedin.com/in/salwa-fathallah-74a07232/?originalSubdomain=uk
Samira Zarringhalam,Sweden,"Estrid, Veat Foods, Combify AB",,
Sandra Malmberg,Sweden,Encore & 2 undisclosed in stealth stage ,Foodtech & climate tech,https://www.linkedin.com/in/sandramalmberg/?originalSubdomain=se
Saniya Vardak,Finland,,"Fintech , Femtech, Edtech, Retail, AI",https://www.linkedin.com/in/sanyavardak/
Sara Gordon ,United Kingdom,"Dishpatch, Roleshare, The Joy Club, Gwella","Consumer, Health",https://www.linkedin.com/in/sarakategordon
Sara Vicente Barreto,"Portugal, United Kingdom",,,https://www.linkedin.com/in/saravicentebarreto/
Sarah Drinkwater,United Kingdom,"Progression, untangle, anyone, stack world ","Community-led b2b & b2c, consumer, d2c",https://www.linkedin.com/in/sarahdrinkwater?originalSubdomain=uk
Sarah Matlock,United Kingdom,"Fungi Alert, ImproveWell, Good Life Sorted, Particity, Buy Me Once",Health of people; health of the planet,https://www.linkedin.com/in/sarahematlock/
Sarah McBride,France,"The Lowdown, FINDS, Dmail, Sane","Consumer, Femtech",https://fr.linkedin.com/in/sarahmcbrideni
Sarah Ronald ,United Kingdom,"Current Health, ICS Learn, Gigged.AI, PommelHorse, Verlume, uHubs, (in total 35 early stage investments have been made since 2015). ",Applying tech to solve meaningful human challenges. ,https://www.linkedin.com/in/sarahronald/
Sarah Turner,United Kingdom," Dynamx Medical, Provenance, Fiskl",,https://www.linkedin.com/in/sarahturneruk/
Sekayi Mutambirwa,United Kingdom,"Suprafin, Ziglu, The Panther Protocol, Pipe","Crypto, fintech, impact",https://www.linkedin.com/in/sekayi-m-5330966
Selvaggia Fagioli,Italy,"Diamante, TA-Daan, Cosaporto, Glivee","marketplace, medtech, edtech",https://www.linkedin.com/in/selvaggiafagioli/
Shefali Roy,United Kingdom,,"FinTech, Creator Economy, FemTech",https://www.linkedin.com/in/shefaliroy
Shirley Schoenfeld,Israel,"Venus Aerospace, Xpay, Tesorio, Groo, Moonshot Brands, Cart.com, Joy, Inkbox, Strattic","Ecommerce, Data infrastructure, cloud security, devops/dev tools, SMB SaaS",www.linkedin.com/in/therealshirley
Silvia Pugi,Italy,"Deliveristo, Chitè, Apical, ACBC, Futurely, Resalis",Digital,https://www.linkedin.com/in/silviapugi
Silvia Rovere,Italy,"Kaaja, Roomless",Proptech,https://www.linkedin.com/in/silvia-rovere-4157007/
Siobhan Brewster ,Germany,,,https://de.linkedin.com/in/siobhan-brewster
Sissi Silván,Finland,,,https://www.linkedin.com/in/sissi-silv%C3%A1n-8043a64
Sophia Bendz,Sweden,"Medoma, Joint Academy, Engaging Care, Daye, Grace Health, Boost Thyroid ",,https://www.linkedin.com/in/sophiabendz/
Sophia Tran,"Germany, Germany ","SQIN, Rubarb","Consumer, SAAS",https://www.linkedin.com/in/sophiatran
Sophie Halliot,France,"Bankin', Bridge, Inga, Wave",,https://www.linkedin.com/in/sophie-halliot-0759a610/
Stephanie Peritore,United Kingdom,"Hyfe Foods, Evo Foods, Loki, Passion Capital, The Pack, Pip & Nut","FoodTech, ClimateTech",https://www.linkedin.com/in/stephanie-peritore/
Suzanne Ashman,United Kingdom,"Motorway,  Zego, Tessian",,https://www.linkedin.com/in/suzanneashman/
Swarnali Mitra,United Kingdom,,,https://www.linkedin.com/in/swarnalimitra
Sylvie Fleckinger Botter,France,,,https://fr.linkedin.com/in/sylvie-fleckinger-botter-3357944
Tatiana Jama,France,"Résilience / MerciApp / Adaschool / Wempo, Offishall, Resilience, Maki",Startups with at least one female co founder ,https://www.linkedin.com/in/tatianajama
Tatum Getty,United Kingdom,"Bea Fertility, MyMynd, DemDX, Daye, Nue Life, Noula, Mayweather Boxing","MedTech, Wellness, Fitness",http://linkedin.com/in/tatum-getty
Tazz Gault,United Kingdom,,,https://www.linkedin.com/in/tazzgault/
Tessa de Flines,Netherlands ,"Elfin, Augmedit, Greenspark, MoonRise, Cilter, Starnus Techology",,https://www.linkedin.com/in/tessadeflines/
Thish Nadesan,United Kingdom,"Rail, Roleshare ",Consumer & fintech,https://www.linkedin.com/in/thish-nadesan-97b74616
Tijen Onaran,Germany,Laori Drinks,Food and beverages,
Torill Bye Wilhelmsen,Norway ,"Frys film, Bergmannsgata 6, Slow Business Adventure","Rural, female-owned companies",https://no.linkedin.com/in/torillbyewilhelmsen
Tove Sildenstedt,Sweden," C8 Technologies, Econans, Gimi, RailsR, Zilch, Upgrade and more",Fintech,https://www.linkedin.com/mwlite/in/tovesildenstedt
Triin Hertmann,Estonia,"Grünfin, Starship, Salv, Montonio, Fyma, Reverse Resources, Remato, Yaga",no,https://www.linkedin.com/in/triin-hertmann-a347b85/
Valentine Baudoin ,France,"De Facto, Nilos, Request Finance",,
Vanessa Daurian Proust,France,"alegria, karmen, fair jungle, roundtable, auum, shareable, money walkie, firecell","saas, consumer, future of work, impact, fintech",https://www.linkedin.com/in/vanessa-daurian-proust-19538a13/
Vera Elizabeth Baker,France,,Sustainable Solutions/Climate Tech and the Future of Food,https://www.linkedin.com/in/velizbaker/
Verena Alice Sturm,Germany,,,https://www.linkedin.com/in/verena-alice-sturm/
Verena Pausder,Germany ,"Wise, Afilio, 8returns, Knowunity, Cleverly, Alice App","Edtech, Femtech, Consumer Tech",https://www.linkedin.com/in/verenapausder/
Veronika Kapustina,United Kingdom,Orbiit,"Ed-tech, fin-tech, impact-tech",https://www.linkedin.com/in/veronika-kapustina-8a590914/
Victoria Kostic-Nola,Cyprus,"Manigo, CatchApp, Fleksy, Coconut, Genuine Impact, Abodoo, Strawberry Energy and Andersen EV","Fintech, Edtech, Future of work/living, Wellness, Ecommerce, Productivity; Consumer, Marketplaces, B2B/SaaS; female founders or diverse teams",https://www.linkedin.com/in/victoria-kostic-nola-b7b08432/
Victoria Maigrot,United Kingdom,"Zigzag Global, EON, ManiLife","Consumer, Saas, Sustainability ",https://www.linkedin.com/in/victoria-m-950aa032/
Victoria van Lennep,United Kingdom,"StudentFinance, Sugar",Edtech,https://www.linkedin.com/in/victoria-van-lennep-34838857/?originalSubdomain=uk
Vivi Cahyadi,United Kingdom,,,https://uk.linkedin.com/in/vivi-anggraini-cahyadi
Wendy Anderson,Sweden,"Hey Jane, Meela, LEIA, Vyld, Planera, Clue","Femtech, women's health, menstrual health, sexual health & pleasure, SRHR. ",linkedin.com/in/wendy-anderson-tcfh
Wibke Stoffers,United Kingdom,"Good Life Sorted, Byway.travel, Dr. Vegan, Ohne, Renude",Consumer and Wellness,https://www.linkedin.com/in/wibkestoffers/
Yana Abramova,United Kingdom,"Troglo, Blushh, GetMaude, Heights",Sexual wellness,https://www.linkedin.com/in/yana-abramova
Yelena MacKay,United Kingdom,"Etiq AI, Tonus Tech, Yuno","Companies with a purpose, AI, consumer",https://www.linkedin.com/in/yelenamackay/
Yenny Cheung,Germany,,B2B from underrepresented founders,https://www.linkedin.com/in/yennycheung/
Yi Luo,United Kingdom,"Qogita, BondAval, Hook, Levity","fintech, crypto and industry agnostic",https://www.linkedin.com/in/loriluoyi/
Yvonne Bajela,United Kingdom,"Hutch, Flutterwave ","B2B, marketplace, fintech, InsureTech ",https://uk.linkedin.com/in/yvonnebajela
Zeynep Yavuz,United Kingdom,"Ramp.Network, Yoco, stitch.money, Truelayer, two.inc, pledge.io, sikoia, cabletech ",Fintech,https://uk.linkedin.com/in/zeynep-yavuz-72362379
